cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
0,471.920408999722,16,393.151594000301,False,88,0,12ba148d-60ba-4699-80c9-f00b238a4a95,88.0,cost_aware,[simulated worker-0] generated 16 tokens,272.0,worker-0
0,561.9964760007861,16,434.3231220009329,False,88,7,772b916e-1e96-4a72-8c7e-9e0acdc1bec5,88.0,cost_aware,[simulated worker-0] generated 16 tokens,314.0,worker-0
0,522.8078759992059,16,416.12623400033044,False,88,4,d9b8b692-881e-469b-82d9-bd8c30d70f9e,88.0,cost_aware,[simulated worker-0] generated 16 tokens,296.0,worker-0
0,562.7711670003919,16,422.23672100044496,False,88,5,d9c304c4-8571-462b-af6c-9ac2d31207df,88.0,cost_aware,[simulated worker-0] generated 16 tokens,302.0,worker-0
0,522.4986280009034,16,404.28278100080206,False,88,2,699a5c5d-447e-4896-b162-402d65b40705,88.0,cost_aware,[simulated worker-0] generated 16 tokens,284.0,worker-0
0,562.4223000013444,16,428.2307529992977,False,88,6,e53e3022-ec60-4bcf-9ec8-a64d6295c38a,88.0,cost_aware,[simulated worker-0] generated 16 tokens,308.0,worker-0
0,521.6638960009732,16,398.0610260005051,False,88,1,ec85a616-10e2-4e8a-ba88-bd389ecac177,88.0,cost_aware,[simulated worker-0] generated 16 tokens,278.0,worker-0
0,522.3305639992759,16,410.9151680004288,False,88,3,1ff0cef1-6d58-4639-8ea9-ac74e3c1c299,88.0,cost_aware,[simulated worker-0] generated 16 tokens,290.0,worker-0
80,368.5368850001396,16,158.21404100097425,True,88,1,15f13774-3f05-457b-9913-9ef8362dd130,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,38.0,worker-0
80,239.33754499921633,16,152.31680600118125,True,88,0,111648d8-15fd-44e5-9169-24a1ba8d7682,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,32.0,worker-0
80,308.5520559998258,16,170.33270100000664,True,88,3,9d5b3574-1609-4294-b93f-b25c12f8ddae,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,50.0,worker-0
80,334.665350999785,16,187.75090199960687,True,88,6,b88aa3ed-2130-46fa-8003-8ed00dbcd2ae,-40.0,cost_aware,[simulated worker-0] generated 16 tokens,68.0,worker-0
80,307.36558200078434,16,163.82363099910435,True,88,2,fc3c299d-cc1c-4a51-8ddf-ed620d334c5d,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,44.0,worker-0
80,267.93450500008476,16,176.32471900105884,True,88,4,0c18565a-0e55-493e-8aac-7a3330a6b0c3,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,56.0,worker-0
80,294.7672979989875,16,193.88246099879325,True,88,7,a7f86ebc-f169-43e8-991f-17877128c801,-40.0,cost_aware,[simulated worker-0] generated 16 tokens,74.0,worker-0
80,268.1993549995241,16,182.54672500006563,True,88,5,9328c53c-30e4-4bd5-b689-72f805daaba8,-40.0,cost_aware,[simulated worker-0] generated 16 tokens,62.0,worker-0
80,409.28997099945263,16,193.89486000000034,True,88,7,0497fda0-fbaa-4870-b027-a1a730036bdb,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,74.0,worker-0
80,228.01307500049006,16,152.30892500039772,True,88,0,75568fc2-f354-47d1-8092-90d9b574d834,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,32.0,worker-0
80,315.5776660005358,16,176.1414619995776,True,88,4,ffc9b93f-b664-41bd-b375-22df2e1a87c9,-40.0,cost_aware,[simulated worker-0] generated 16 tokens,56.0,worker-0
80,315.6144519998634,16,170.00432399981946,True,88,3,d1a8331a-4ba7-45f3-8250-de679416d641,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,50.0,worker-0
80,316.9868260010844,16,158.43087999928684,True,88,1,35a08388-8aaf-4df5-a71c-45927c279748,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,38.0,worker-0
80,315.230321000854,16,164.47687900108576,True,88,2,3ee51bf4-0ddc-42fa-a24e-b7831355ba89,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,44.0,worker-0
80,289.3014450000919,16,182.38543100051174,True,88,5,d6ac30ad-746f-4201-82fa-f337166f83a3,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,62.0,worker-0
80,300.7317840001633,16,188.6074070007453,True,88,6,6499e432-c6c2-4d40-9aca-f7db5d5ab0fa,-40.0,cost_aware,[simulated worker-0] generated 16 tokens,68.0,worker-0
80,401.93473199906293,16,181.92375199942035,True,88,5,717adfc5-4d27-40df-84cd-9dbda39e5ebe,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,62.0,worker-0
80,316.060617000403,16,170.28475799997977,True,88,3,1a1b827f-9e8d-41dd-a40a-cc9aa2c17f46,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,50.0,worker-0
80,315.55466200006776,16,176.5427379996254,True,88,4,bad7b72f-0cc5-449d-92c3-38757a52553c,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,56.0,worker-0
80,313.2235280008899,16,158.44736399958492,True,88,1,22470484-d438-4c43-88d6-0044545f72a8,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,38.0,worker-0
80,325.4017870003736,16,193.58560100044997,True,88,7,0074260e-6a79-414e-978f-3e08a8188dc5,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,74.0,worker-0
80,314.5149899992248,16,188.25654600004782,True,88,6,8ac32a2a-daa2-4fc6-87c5-6d735805aa88,-64.0,cost_aware,[simulated worker-0] generated 16 tokens,68.0,worker-0
80,302.70482699961576,16,164.06498499964073,True,88,2,3f9289e8-78e5-428f-9f1f-f2ce62594c0d,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,44.0,worker-0
80,201.3427479996608,16,152.66482200058817,True,88,0,406ccedc-67fe-4320-827b-8fdbb966deae,-88.0,cost_aware,[simulated worker-0] generated 16 tokens,32.0,worker-0
