cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
576,1695.5337398685515,64,1507.6320071239024,False,576,0,a17231f9-ff9d-4b4e-b7ed-34b956c3596e,64.0,cost_aware, variant 4 req55891040 variant 4 req55891040 variant 4 req55891040 variant 4 req55891040 variant 4 req55891040 variant 4 req,70.30671113170683,worker-0
576,1704.4058430474252,64,1505.5645289830863,False,576,1,217bf0fe-00df-4945-990e-2b77e87f895b,64.0,cost_aware, variant 5 req55891041 variant 5 req55891041 variant 5 req55891041 variant 5 req55891041 variant 5 req55891041 variant 5 req,69.88744018599391,worker-0
576,1749.9888590537012,64,1529.9038891680539,False,576,3,48c10846-3081-4216-885d-4b0df3150f3d,64.0,cost_aware, variant 6 req55891042 variant 6 req55891042 variant 6 req55891042 variant 6 req55891042 variant 6 req55891042 variant 6 req,241.0147599875927,worker-0
576,1777.5263201911002,64,1514.375698985532,False,576,9,ba9c6be8-d47c-4e9e-9863-c6ec540a551b,64.0,cost_aware, variant 7 req55891043 variant 7 req55891043 variant 7 req55891043 variant 7 req55891043 variant 7 req55891043 variant 7 req,391.2104780320078,worker-0
576,1749.7449908405542,64,1529.204344144091,False,576,2,7a244fa5-db46-416a-8c7d-eccf219b1c0b,576.0,cost_aware, variant 8 req55891044 variant 8 req55891044 variant 8 req55891044 variant 8 req55891044 variant 8 req55891044 variant 8 req,241.46752315573394,worker-0
576,1749.6382859535515,64,1512.5629871618003,False,576,4,69e671c1-6ed1-4962-8599-67d5f48d7776,576.0,cost_aware, variant 9 req55891045 variant 9 req55891045 variant 9 req55891045 variant 9 req55891045 variant 9 req55891045 variant 9 req,228.30865811556578,worker-0
576,1746.5908981394023,64,1508.3844249602407,False,576,7,b0983014-2dd8-4897-9d8c-db4bbfbb339c,576.0,cost_aware, variant 10 req55891046 variant 10 req55891046 variant 10 req55891046 variant 10 req55891046 variant 10 req5589104,218.2062070351094,worker-0
576,1776.2978139799088,64,1513.1163948681206,False,576,12,fbf2b1cf-b531-474d-903a-5601c92b3eba,576.0,cost_aware, variant 11 req55891047 variant 11 req55891047 variant 11 req55891047 variant 11 req55891047 variant 11 req5589104,389.80788202024996,worker-0
576,1748.5839689616114,64,1504.6432721428573,False,576,5,035a765c-c7dc-4ddf-8819-4287f3d26240,64.0,cost_aware, variant 12 req55891048 variant 12 req55891048 variant 12 req55891048 variant 12 req55891048 variant 12 req5589104,219.17776414193213,worker-0
576,1772.4078290630132,64,1515.400969889015,False,576,15,ce19b9d8-5189-4885-a49b-d2b164fc6763,64.0,cost_aware, variant 13 req55891049 variant 13 req55891049 variant 13 req55891049 variant 13 req55891049 variant 13 req5589104,388.82596883922815,worker-0
