label,queue_weight,cache_hit_bonus,locality_queue_slack,locality_threshold,metric,seeds,wins_vs_best_baseline,win_rate_vs_best_baseline,pairwise_baseline_wins,pairwise_baseline_win_rate,mean_ttft_p95_ms,mean_delta_ttft_p95_ms_vs_best_baseline,mean_ttft_mean_ms,mean_latency_p95_ms,mean_cache_hit_rate,mean_imbalance_ratio
ca_q64_b1_s1_t0p9,64.0,1.0,1,0.9,ttft_p95_ms,4,2,0.5,8,0.6666666666666666,256.7815409245668,15.703601410496049,122.27310111998426,1465.3335744747892,0.8888888888888888,1.6954429725851803
ca_q32_b1_s1_t0p9,32.0,1.0,1,0.9,ttft_p95_ms,4,2,0.5,8,0.6666666666666666,279.40391285228543,38.32597333821468,125.84601032916301,1493.196518655168,0.8888888888888888,1.7244265474784954
ca_q128_b0p5_s1_t0p9,128.0,0.5,1,0.9,ttft_p95_ms,4,1,0.25,5,0.4166666666666667,272.0408779452555,30.96293843118473,151.98531819565687,1490.9076982323313,0.8888888888888888,1.1642593955107094
ca_q128_b1_s1_t0p9,128.0,1.0,1,0.9,ttft_p95_ms,4,1,0.25,4,0.3333333333333333,308.5478438413702,67.46990432729947,150.6294066295959,1484.217456812621,0.8888888888888888,1.2698487602535422
ca_q64_b0_s1_t0p9,64.0,0.0,1,0.9,ttft_p95_ms,4,1,0.25,3,0.25,455.7498663984006,214.67192688432988,171.53760228674702,1589.1924407769693,0.8888888888888888,1.2558325551067322
ca_q64_b0p5_s1_t0p9,64.0,0.5,1,0.9,ttft_p95_ms,4,0,0.0,3,0.25,320.0775732169859,78.99963370291516,153.81822542617252,1482.0524374372326,0.8888888888888888,1.2557304119789303
ca_q192_b1_s1_t0p9,192.0,1.0,1,0.9,ttft_p95_ms,4,0,0.0,2,0.16666666666666666,29859.019124202314,29617.941184688243,3316.461524247037,31077.93610873632,0.9647222222222223,1.2205877543113262
ca_q32_b0p5_s1_t0p9,32.0,0.5,1,0.9,ttft_p95_ms,4,0,0.0,1,0.08333333333333333,308.39804090792313,67.32010139385241,150.54491079975074,1503.8988456944935,0.8888888888888888,1.9916924971074577
ca_q192_b0_s1_t0p9,192.0,0.0,1,0.9,ttft_p95_ms,4,0,0.0,1,0.08333333333333333,324.40374587604316,83.32580636197241,153.35502871564435,1494.6912336396053,0.9588888888888889,1.2135050082784185
ca_q32_b0_s1_t0p9,32.0,0.0,1,0.9,ttft_p95_ms,4,0,0.0,1,0.08333333333333333,325.33372493053326,84.2557854164625,153.85280323738698,1504.6367576462217,0.8888888888888888,1.8406482735006597
ca_q128_b0_s1_t0p9,128.0,0.0,1,0.9,ttft_p95_ms,4,0,0.0,1,0.08333333333333333,333.3994936692761,92.32155415520538,165.55568252825955,1561.7337859846884,0.8888888888888888,1.2438477974840136
ca_q192_b0p5_s1_t0p9,192.0,0.5,1,0.9,ttft_p95_ms,4,0,0.0,1,0.08333333333333333,391.1430436361119,150.06510412204113,179.883143370389,1604.1079405142227,0.9613888888888888,1.2688287000914573
