cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
0,1346.607221988961,64,1297.5007370114326,False,576,0,e259103f-da9a-4882-a35d-bab4e26d7f02,576.0,cost_aware, variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req40 variant 6 req,102.3570871911943,worker-0
0,1356.0039058793336,64,1287.2485958505422,False,576,1,6436bb85-94ba-4e0c-9e44-c8c251eb73c9,576.0,cost_aware, variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req41 variant 7 req,145.03313787281513,worker-0
0,1501.18293100968,64,1376.0497870389372,False,576,1,87364683-e84f-4371-9017-16019a2c4939,576.0,cost_aware, variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req42 variant 8 req,285.7785951346159,worker-1
0,1500.9750379249454,64,1369.2650541197509,False,576,3,bba64dbd-459d-44d3-93c5-8cc4880bbd3d,576.0,cost_aware, variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req43 variant 9 req,277.90805813856423,worker-1
0,1463.4403919335455,64,1358.439123025164,False,576,0,975bb9f2-03d3-4a30-8d03-4af5e554decc,576.0,cost_aware, variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant 10 req44 variant,147.4007701035589,worker-1
0,1491.991044022143,64,1360.1467721164227,False,576,5,e116977f-511f-4817-b9c9-68f26463ecc7,576.0,cost_aware, variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant 11 req45 variant,271.1345620919019,worker-1
0,1491.9235890265554,64,1360.2725369855762,False,576,4,8bcd3a2d-29e6-4a2c-86a5-9539ac227697,576.0,cost_aware, variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant 12 req46 variant,273.9202429074794,worker-1
0,1491.5759400464594,64,1369.2573530133814,False,576,2,1429380c-3509-4560-97ef-2e396a946f8d,576.0,cost_aware, variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant 13 req47 variant,281.519619980827,worker-1
512,1403.9825720246881,64,1250.9460500441492,True,576,7,b81b3cc7-96ae-4128-b2c0-42df0bb60724,-384.0,cost_aware, variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant 14 req48 variant,147.94858009554446,worker-0
512,1384.8895281553268,64,1251.5733519103378,True,576,2,e05baa1c-b523-4f74-85e5-18355a1ec26e,-384.0,cost_aware, variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant 15 req49 variant,105.95978400669992,worker-0
512,1385.8637588564306,64,1238.491502823308,True,576,3,5e97abc6-f13f-4284-9b05-7adcbb147e44,-384.0,cost_aware, variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant 16 req50 variant,95.28865292668343,worker-0
512,1403.9358389563859,64,1254.2377151548862,True,576,6,d00113e6-17c6-4532-9a49-65c6b01f43d0,-384.0,cost_aware, variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req51 variant 0 req,149.06179602257907,worker-0
512,1385.4446490295231,64,1238.3316841442138,True,576,4,afa2e672-deb9-4095-a588-51ae3b204e39,-384.0,cost_aware, variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req52 variant 1 req,94.25154398195446,worker-0
512,1384.2249759472907,64,1237.9083179403096,True,576,5,0b37ae99-ca0b-4959-acdf-afc3a5d0cf0b,-320.0,cost_aware, variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req53 variant 2 req,93.0775839369744,worker-0
512,1402.9298489913344,64,1249.0945479366928,True,576,9,3f6949e1-af08-47b5-b7ac-554a7f84b2e0,-320.0,cost_aware, variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req54 variant 3 req,144.9566688388586,worker-0
512,1401.0121440514922,64,1248.388052918017,True,576,8,1b0f3efd-a410-4202-b52c-39c1c88c2c64,-320.0,cost_aware, variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req55 variant 4 req,146.95271500386298,worker-0
0,1547.624021070078,64,1410.3997249621898,False,576,0,19adc21f-4eca-4a48-9020-78ecff0824f0,576.0,cost_aware, variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req56 variant 5 req,147.2711688838899,worker-0
0,1558.7519109249115,64,1403.5415470134467,False,576,2,d519ce65-585d-45b3-9aff-c8c7d98e6a03,576.0,cost_aware, variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req57 variant 6 req,137.7414979506284,worker-0
0,1527.5174451526254,64,1405.4874160792679,False,576,1,6a5b26a8-8fb7-4b9b-af92-2d4b48b0a8f5,576.0,cost_aware, variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req58 variant 7 req,140.651592053473,worker-0
0,1505.556714022532,64,1396.69946487993,False,576,3,fb848870-69a2-407c-b4b9-51a9b6253992,576.0,cost_aware, variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req59 variant 8 req,134.76521195843816,worker-0
512,1577.1559360437095,64,1384.1577221173793,True,576,8,8e5ba907-bc18-4916-b286-bcb9270db17a,-192.0,cost_aware, variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req60 variant 9 req,264.8705970495939,worker-0
512,1576.9969888497144,64,1422.1168980002403,True,576,6,bcff1467-5f95-46c4-abd1-8a4888c2e16c,-448.0,cost_aware, variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant 10 req61 variant,302.4456761777401,worker-0
512,1560.0568039808422,64,1418.1458079256117,True,576,5,910dca13-1040-484c-8306-c8679a676777,-448.0,cost_aware, variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant 11 req62 variant,302.8209279291332,worker-0
512,1562.6577180810273,64,1411.101503064856,True,576,7,a2f9cdf2-aa9b-4010-910c-70d9cf19caf1,-384.0,cost_aware, variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant 12 req63 variant,293.1914129294455,worker-0
512,1562.278680037707,64,1414.546957006678,True,576,4,36c236ec-b94b-43c4-aeb1-8555518276ef,-448.0,cost_aware, variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant 13 req64 variant,303.29484306275845,worker-0
512,1561.7636109236628,64,1372.0268169417977,True,576,9,f770597a-8cfe-40c6-ae99-3b77e9c82b13,-192.0,cost_aware, variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant 14 req65 variant,253.51003580726683,worker-0
512,1504.2704390361905,64,1366.3216580171138,True,576,10,323136b0-a365-4c5b-8e02-8ad42484bf42,64.0,cost_aware, variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant 15 req66 variant,249.72495599649847,worker-0
512,1475.4199211020023,64,1334.886843105778,True,576,12,47bbba47-2d0e-4a8f-93aa-073bb2ce3fe7,256.0,cost_aware, variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant 16 req67 variant,220.8246721420437,worker-0
512,1475.8480060845613,64,1329.8980661202222,True,576,14,9afe2e2f-4c2a-443a-98f8-befcc557dd2b,256.0,cost_aware, variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req68 variant 0 req,217.39429095759988,worker-0
512,1475.4068409092724,64,1325.3988078795373,True,576,15,8e5a6168-adec-40f3-8b3f-6687afc67a97,256.0,cost_aware, variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req69 variant 1 req,215.3245909139514,worker-0
512,1464.1210359986871,64,1337.9038819111884,True,576,13,285d3d42-78cf-49d8-b606-a0d43b446e5a,256.0,cost_aware, variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req70 variant 2 req,219.71250604838133,worker-0
512,1470.3424160834402,64,1351.0388159193099,True,576,11,1d205e8f-0685-4a60-950f-01ad2aecb9bd,256.0,cost_aware, variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req71 variant 3 req,232.1377987973392,worker-0
512,1389.6551500074565,64,1240.651151863858,True,576,0,9b45e6ed-df69-4b74-94ab-b84cfe3e42fb,-448.0,cost_aware, variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req72 variant 4 req,32.199391862377524,worker-0
512,1412.163269938901,64,1244.842312997207,True,576,3,567d852a-88c3-4b72-93f4-d18e6feba509,-448.0,cost_aware, variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req73 variant 5 req,59.38920401968062,worker-0
