cache_hit_tokens,client_wall_ms,generated_tokens,latency_ms,partial_match,prompt_tokens,queue_depth_at_start,request_id,route_cost,route_policy,text,ttft_ms,worker_id
520,875.2299849984411,8,619.3733549989702,False,520,0,5abdc276-36ac-47d3-a134-dbf937db2a28,520.0,cache_aware, 0 req0 variant 0 req,611.7518999999447,worker-0
520,874.2513849974785,8,616.856688997359,False,520,2,333065b3-49f1-4861-88ac-486add8a017d,520.0,cache_aware, 1 req1 variant 1 req,609.8967639991315,worker-0
520,873.4438139981648,8,615.3308620014286,False,520,1,db6a1d28-71ea-4e89-b851-644adbf6523c,520.0,cache_aware, 2 req2 variant 2 req,608.2465190011135,worker-0
520,790.7523960020626,8,608.8455550016079,False,520,4,f42de839-2dbe-4fe1-8bdc-e35f5b6fbbec,520.0,cache_aware, 3 req3 variant 3 req,604.8243440018268,worker-0
520,1009.1620980019798,8,758.7935180017666,False,520,11,3ab696ac-55de-4bd0-b47d-3db2d2373c02,520.0,cache_aware, 4 req4 variant 4 req,632.6156210016052,worker-0
520,918.4709530018154,8,756.0016159986844,False,520,10,7e0a6ccd-e674-41ec-8b52-1a5adcbd16b6,520.0,cache_aware, 5 req5 variant 5 req,633.7312169998768,worker-0
520,873.0608250007208,8,610.6078999982856,False,520,6,68dcfe15-be4f-4301-85bb-8c55f8ec8528,520.0,cache_aware, 6 req6 variant 6 req,604.3995619984344,worker-0
520,1008.8020029979816,8,759.8740120010916,False,520,9,d9091642-2f68-45e7-9681-096641a8f921,520.0,cache_aware, 7 req7 variant 7 req,635.876050000661,worker-0
520,1006.1128369998187,8,754.9892450006155,False,520,14,fe5bfa14-b17d-4fcf-8398-ad4766bb0791,520.0,cache_aware, 8 req8 variant 8 req,628.0230949996621,worker-0
520,872.8020029993786,8,614.7638049988018,False,520,3,69025e19-ec2f-4d90-bfd3-162c7d3d9ec6,520.0,cache_aware, 9 req9 variant 9 req,607.857351002167,worker-0
520,872.1355750021758,8,609.7426720007206,False,520,5,f20387da-14fd-4788-a2c2-bfcbf8a119a1,520.0,cache_aware, 10 req10 variant ,604.6522040014679,worker-0
520,1005.7679550009198,8,755.7845180017466,False,520,12,cec3e5e8-8b2d-4502-9746-08f135b3af96,520.0,cache_aware, 11 req11 variant ,631.0316650015011,worker-0
520,1005.5908279973664,8,754.3357870017644,False,520,15,49edfcc1-b5d2-4d4c-9c67-bd5229daad9c,520.0,cache_aware, 12 req12 variant ,626.6219259996433,worker-0
520,901.9855650003592,8,742.097611000645,False,520,7,1846e4d2-b69c-4b18-8d88-caf9c67b441d,520.0,cache_aware, 13 req13 variant ,617.8744789976918,worker-0
520,1008.6323679970519,8,762.6037190020725,False,520,8,bd6af891-8a57-4ac0-99d4-965860888dcb,520.0,cache_aware, 14 req14 variant ,637.0927900024981,worker-0
520,1008.4426110006461,8,752.3973560018931,False,520,13,235ec45d-7b7c-4794-b70f-9c53f77c050a,520.0,cache_aware, 15 req15 variant ,629.1653430016595,worker-0
520,275.7019199998467,8,160.35327900317498,False,520,9,55b173b3-cf11-42d1-8558-4f43f35fbc89,-390.4,cache_aware, 16 req16 variant ,39.42439800084685,worker-0
520,391.7254129992216,8,168.7199709995184,False,520,6,d8163b81-0f60-4f4d-a1cf-618148e5429d,-366.4,cache_aware, 0 req17 variant 0,36.13439399850904,worker-0
520,192.83632000224316,8,149.21097900150926,False,520,9,310e0154-d4e9-4a16-9131-da5f03e8b01c,-366.4,cache_aware, 1 req18 variant 1,28.91811000154121,worker-0
520,392.02602799923625,8,179.10160099927452,False,520,3,293045a9-92a2-4a2e-be44-741f343e349a,-390.4,cache_aware, 2 req19 variant 2,44.72223999982816,worker-0
520,220.4051900007471,8,170.37351200269768,False,520,2,ecf24bb3-d535-445a-af40-7d1f78e6534f,-366.4,cache_aware, 3 req20 variant 3,42.89624900047784,worker-0
520,328.0549489973055,8,168.62467700048,False,520,5,a5267591-c1ac-421c-bd4c-8b3066eb9d86,-534.4,cache_aware, 4 req21 variant 4,37.3139870025625,worker-0
512,391.51755800048704,8,176.18489999949816,True,520,4,23e8fe27-4cd4-4185-98eb-4c5caaf2810a,-534.4,cache_aware, 5 req22 variant 5,40.99184900042019,worker-0
520,361.41994500212604,8,169.0877270011697,False,520,8,705a19a8-d4c0-408c-9889-99e9867fdffb,-534.4,cache_aware, 6 req23 variant 6,32.904548999795225,worker-0
512,346.2323979983921,8,168.22992999732378,True,520,7,84d9fb85-e062-4040-864b-6329e3c5377c,-534.4,cache_aware, 7 req24 variant 7,34.81155299959937,worker-0
512,406.214763999742,8,175.52781599806622,True,520,11,bd3a1182-1d1e-4581-ad1a-2faaf2fdb44d,-390.4,cache_aware, 8 req25 variant 8,50.000620998616796,worker-0
520,409.8398060014006,8,162.22121299870196,False,520,13,47f48443-21d2-4f94-95c5-41b0f94a018c,-318.4,cache_aware, 9 req26 variant 9,40.38175499954377,worker-0
512,408.66517900212784,8,167.93165800118004,True,520,8,b837ca74-b3d7-43d5-b933-b1c4f9d2608b,-390.4,cache_aware, 10 req27 variant ,40.08098100166535,worker-0
520,407.5923870004772,8,171.38278700076626,False,520,12,ab54bb98-fac3-44bf-9802-58a0b6a5fc39,-390.4,cache_aware, 11 req28 variant ,47.23584000021219,worker-0
520,403.6521989983157,8,165.3319460019702,False,520,9,06c34287-f1bc-4c97-85b0-7eabb4932f50,-390.4,cache_aware, 12 req29 variant ,39.57467500003986,worker-0
512,407.419896000647,8,162.48944800099707,True,520,10,53cd3ea7-31ec-4995-8a56-037017fb7549,-390.4,cache_aware, 13 req30 variant ,37.251171001116745,worker-0
512,403.21443600259954,8,170.29087499759044,True,520,9,e25c4dba-7307-40e8-b7dc-6be8e977d841,-414.4,cache_aware, 14 req31 variant ,43.591538997134194,worker-0
520,350.865854001313,8,163.22138599934988,False,520,14,f196ee64-9d6f-4361-8500-93c38f751c25,-294.4,cache_aware, 15 req32 variant ,38.276621999102645,worker-0
520,350.23513000123785,8,160.6972690024122,False,520,15,4571dd46-2faa-4a65-9777-edb69b0f0c6c,-294.4,cache_aware, 16 req33 variant ,37.49613200125168,worker-0
520,322.77246099693,8,154.10908600097173,False,520,15,1cb3402b-1eaa-44ae-be94-272abe802b5e,-246.39999999999998,cache_aware, 0 req34 variant 0,34.552421002445044,worker-0
520,421.91231199831236,8,160.3394070007198,False,520,0,ea30d026-fa0c-46c4-84d1-e0866bcbe16a,-606.4,cache_aware, 1 req35 variant 1,26.795851001224946,worker-0
